LLM,Prompt Title,Original Error Type,Classification,Details
llava:34b,Waiting for results to be calculated in parallel. M0,Compilation Errors,Syntax error,"./temp_compile/Main.java:12: error: cannot find symbol
class SequentialProcessor implements Consumer<Element> {
                                     ^
  symbol: class Consumer
./temp_compile/Main.java:25: error: cannot find symbol
class ParallelProcessor implements Consumer<Collection<Node>> {
     "
llava:34b,Wrapping a Map with a read-write lock. M0,Compilation Errors,Missing package,"./temp_compile/ReadWriteMap.java:5: error: cannot find symbol
    private final Map<K, V> map;
                      ^
  symbol:   class K
  location: class ReadWriteMap
./temp_compile/ReadWriteMap.java:5: error: cannot find symbol
    private final Map<K, V> map;
                         ^
  symbol"
magicoder:7b,Counting sheep. M2,Compilation Errors,Syntax error,"./temp_compile/Wanderer.java:16: error: unreported exception InterruptedException; must be caught or declared to be thrown
        tryToSleep();
                  ^
1 error"
magicoder:7b,Counting sheep. M3,Compilation Errors,Missing package,"./temp_compile/Scout.java:23: error: cannot find symbol
        ExecutorService executor = Executors.newFixedThreadPool(3); // 3 threads max
        ^
  symbol:   class ExecutorService
  location: class Scout
./temp_compile/Scout.java:23: error: cannot find symbol
        ExecutorService executor = "
magicoder:7b,Immutable class built out of mutable underlying objects. M1,Compilation Errors,Syntax error,"./temp_compile/CosmicCats.java:66: error: non-static variable this cannot be referenced from a static context
        executor.submit(new MainThread());
                        ^
1 error"
magicoder:7b,Immutable class built out of mutable underlying objects. M2,Compilation Errors,Missing package,"./temp_compile/MysticMonkeys.java:11: error: non-static method isMonkeyPresent(String) cannot be referenced from a static context
        Future<Boolean> isBananaPresent = executor.submit(() -> isMonkeyPresent(""Banana""));
                                                                ^
./temp_compi"
magicoder:7b,Returning a static copy of the location set instead of a 'live' one. M1,Compilation Errors,Syntax error,"./temp_compile/DelegatingDeviceTracker.java:24: error: incompatible types: Position cannot be converted to Optional<Position>
        return positions.get(gadgetId);
                            ^
1 error"
magicoder:7b,Returning a static copy of the location set instead of a 'live' one. M2,Compilation Errors,Syntax error,"./temp_compile/DelegatingParcelTracker.java:11: error: local variables referenced from a lambda expression must be final or effectively final
            Thread thread = new Thread(() -> tracker.assignPackagePosition(packageId, i * 5));
                                                               "
magicoder:7b,Avoiding lock-ordering deadlock using try Lock. M1,Compilation Errors,Syntax error,"./temp_compile/Locker.java:56: error: class Main is public, should be declared in a file named Main.java
public class Main {
       ^
./temp_compile/Locker.java:47: error: cannot find symbol
        while(!locker.lock.waitFor(5, TimeUnit.SECONDS)) { // Wait for lock to be released or timeout
       "
magicoder:7b,Avoiding lock-ordering deadlock using try Lock. M2,Compilation Errors,Missing package,"./temp_compile/Main.java:46: error: cannot find symbol
        private final ReentrantLock lock = new ReentrantLock();
                      ^
  symbol:   class ReentrantLock
  location: class Container
./temp_compile/Main.java:21: error: cannot find symbol
        if (!swapElements(originContainer,"
magicoder:7b,Avoiding lock-ordering deadlock using try Lock. M3,Compilation Errors,Syntax error,"./temp_compile/Main.java:29: error: cannot find symbol
    static boolean moveWidgetsBetweenBins(Bin source, Bin target, int numWidgetsToMove, long timeoutDuration, TimeUnit timeUnit) {
                                          ^
  symbol:   class Bin
  location: class Main
./temp_compile/Main.java:"
magicoder:7b,Candidate for lock splitting. M2,Compilation Errors,Missing package,"./temp_compile/ServerStatusBeforeSplit.java:5: error: cannot find symbol
    private final Set<String> notebooks = new HashSet<>();
                  ^
  symbol:   class Set
  location: class ServerStatusBeforeSplit
./temp_compile/ServerStatusBeforeSplit.java:6: error: cannot find symbol
    private"
magicoder:7b,Using confinement to ensure thread safety. M1,Compilation Errors,Syntax error,"./temp_compile/Main.java:9: error: Person is abstract; cannot be instantiated
                personSet.addPerson(new Person(""John Doe "" + i, 20+i));
                                    ^
./temp_compile/Main.java:15: error: Person is abstract; cannot be instantiated
                personSet.contain"
magicoder:7b,Using confinement to ensure thread safety. M3,Compilation Errors,Syntax error,"./temp_compile/Main.java:50: error: duplicate class: Person
class Person implements Person {
^
./temp_compile/Main.java:6: error: Person is abstract; cannot be instantiated
        final Person person1 = new Person(""John"", ""Doe"");
                               ^
2 errors"
magicoder:7b,Vehicle tracker that safely publishes underlying state. M1,Compilation Errors,Syntax error,"./temp_compile/PublishingVehicleTracker.java:25: error: 'else' without 'if'
        else 
        ^
1 error"
magicoder:7b,Using a volatile field to hold cancellation state. M0,Compilation Errors,Missing package,"./temp_compile/Main.java:3: error: cannot find symbol
    private static List<Integer> primes = new ArrayList<>(); 
                   ^
  symbol:   class List
  location: class Main
./temp_compile/Main.java:5: error: cannot find symbol
    public static void main(String[] args) throws InterruptedEx"
magicoder:7b,Using confinement to ensure thread safety. M0,Compilation Errors,Missing package,"./temp_compile/Main.java:36: error: cannot find symbol
@ThreadSafe
 ^
  symbol: class ThreadSafe
./temp_compile/Main.java:7: error: cannot find symbol
        ExecutorService executor = Executors.newFixedThreadPool(3); // 3 threads are enough for this program
        ^
  symbol:   class ExecutorServ"
magicoder:7b,Vehicle tracker that safely publishes underlying state. M0,Compilation Errors,Syntax error,"./temp_compile/PublishingVehicleTracker.java:57: error: class, interface, or enum expected
public static void main(String[] args) {
              ^
./temp_compile/PublishingVehicleTracker.java:60: error: class, interface, or enum expected
    try {
    ^
./temp_compile/PublishingVehicleTracker.java:"
magicoder:7b,Waiting for results to be calculated in parallel. M0,Compilation Errors,Syntax error,"./temp_compile/Node.java:33: error: class Element is public, should be declared in a file named Element.java
public interface Element extends Supplier<String> {
       ^
./temp_compile/Node.java:5: error: Node is not abstract and does not override abstract method get() in Supplier
public class Node "
mistral:7b,Counting sheep. M2,Compilation Errors,Syntax error,"./temp_compile/Main.java:20: error: cannot find symbol
    public static ExecutorService executor = ExecutionUtils.newFixedThreadPool(2);
                                             ^
  symbol:   variable ExecutionUtils
  location: class Main
1 error"
mistral:7b,Counting sheep. M3,Compilation Errors,Syntax error,"./temp_compile/Main.java:29: error: unreported exception InterruptedException; must be caught or declared to be thrown
                Thread.sleep(100);
                            ^
./temp_compile/Main.java:48: error: unreported exception InterruptedException; must be caught or declared to be thro"
mistral:7b,Immutable class built out of mutable underlying objects. M1,Compilation Errors,Syntax error,"./temp_compile/Main.java:39: error: cannot assign a value to final variable cats
                cats = new CosmicCats(new HashSet<>(Arrays.asList(cats.getIdsList(), id)));
                ^
./temp_compile/Main.java:39: error: incompatible types: cannot infer type arguments for HashSet<>
           "
mistral:7b,Immutable class built out of mutable underlying objects. M2,Compilation Errors,Syntax error,"./temp_compile/Main.java:48: error: no suitable method found for add(Future<CAP#1>)
            futures.add(executor.submit(checker));
                   ^
    method Collection.add(Future<List<String>>) is not applicable
      (argument mismatch; Future<CAP#2> cannot be converted to Future<List<Str"
mistral:7b,Immutable class built out of mutable underlying objects. M3,Compilation Errors,Syntax error,"./temp_compile/Sprite.java:33: error: cannot find symbol
    private static final Srite SPARK = new Sprite(""Spark"");
                         ^
  symbol:   class Srite
  location: class StellarSprites
./temp_compile/Sprite.java:29: error: StellarSprites is not abstract and does not override abstract"
mistral:7b,Returning a static copy of the location set instead of a 'live' one. M2,Compilation Errors,Syntax error,"./temp_compile/Main.java:59: error: incompatible types: no instance(s) of type variable(s) K,V exist so that Map<K,V> conforms to ConcurrentMap<String,Position>
            return unmodifiableMap(packages);
                                  ^
  where K,V are type-variables:
    K extends Object decl"
mistral:7b,Returning a static copy of the location set instead of a 'live' one. M3,Compilation Errors,Missing package,"./temp_compile/Main.java:32: error: invalid method reference
                .map(Robot::coordinates);
                     ^
  cannot find symbol
    symbol:   method coordinates()
    location: class Robot
./temp_compile/Main.java:36: error: incompatible types: inference variable V#1 has incompati"
mistral:7b,Vehicle tracker that safely publishes underlying state. M0,Compilation Errors,Syntax error,"./temp_compile/Main.java:14: error: cannot find symbol
class VehicleLocation extends HashMap<String, SafePoint> implements Serializable {
                                                                    ^
  symbol: class Serializable
./temp_compile/Main.java:20: error: method scheduleAtFixedRate "
mistral:7b,Waiting for results to be calculated in parallel. M0,Compilation Errors,Missing package,"./temp_compile/Main.java:23: error: cannot find symbol
    private final List<Node<T>> children;
                  ^
  symbol:   class List
  location: class InternalNode<T>
  where T is a type-variable:
    T extends Object declared in class InternalNode
./temp_compile/Main.java:25: error: cannot f"
mistral:7b,Wrapping a Map with a read-write lock. M0,Compilation Errors,Syntax error,"./temp_compile/Main.java:112: error: cannot find symbol
            int key = rand.nextInt(3);
                      ^
  symbol:   variable rand
  location: class WriterTask
./temp_compile/Main.java:113: error: cannot find symbol
            System.out.println(Thread.currentThread().getName() + "" wr"
mixtral:8x7b,Counting sheep. M3,Compilation Errors,Syntax error,"./temp_compile/FireflyScout.java:26: error: countSomeSheep() has private access in Scout
        executor.submit(() -> scout.countSomeSheep());
                                   ^
1 error"
mixtral:8x7b,Immutable class built out of mutable underlying objects. M1,Compilation Errors,Syntax error,"./temp_compile/CosmicCats.java:10: error: no suitable method found for newKeySet(Set<String>)
        this.catIds = ConcurrentHashMap.newKeySet(catIds);
                                       ^
    method ConcurrentHashMap.<K#1>newKeySet() is not applicable
      (cannot infer type-variable(s) K#1
 "
mixtral:8x7b,Immutable class built out of mutable underlying objects. M2,Compilation Errors,Syntax error,"./temp_compile/MysticMonkeys.java:3: error: cannot find symbol
import java.util.ImmutableSet;
                ^
  symbol:   class ImmutableSet
  location: package java.util
./temp_compile/MysticMonkeys.java:8: error: cannot find symbol
    private static final Set<String> MONKEY_LABELS = ImmutableSe"
mixtral:8x7b,Immutable class built out of mutable underlying objects. M3,Compilation Errors,Missing package,"./temp_compile/StellarSprites.java:36: error: cannot find symbol
        Set<String> sprites = Set.of(""Flare"", ""Glint"", ""Spark"");
                                 ^
  symbol:   method of(String,String,String)
  location: interface Set
./temp_compile/StellarSprites.java:39: error: cannot find symbol
"
mixtral:8x7b,Returning a static copy of the location set instead of a 'live' one. M1,Compilation Errors,Missing package,"./temp_compile/DelegatingDeviceTracker.java:70: error: cannot find symbol
        ExecutorService executorService = Executors.newFixedThreadPool(2);
        ^
  symbol:   class ExecutorService
  location: class DelegatingDeviceTracker
./temp_compile/DelegatingDeviceTracker.java:70: error: cannot fin"
mixtral:8x7b,Returning a static copy of the location set instead of a 'live' one. M2,Compilation Errors,Missing package,"./temp_compile/Main.java:77: error: cannot find symbol
        ExecutorService executor = Executors.newFixedThreadPool(2);
        ^
  symbol:   class ExecutorService
  location: class Main
./temp_compile/Main.java:77: error: cannot find symbol
        ExecutorService executor = Executors.newFixedTh"
opencoder:8b,Nonblocking counter using CAS. M0,Compilation Errors,Syntax error,"./temp_compile/Main.java:13: error: local variables referenced from a lambda expression must be final or effectively final
                if (i % 3 == 0) { // simulate a rare condition
                    ^
1 error"
opencoder:8b,Nonblocking stack using Treiber's algorithm. M0,Compilation Errors,Syntax error,"./temp_compile/Stack.java:12: error: cannot find symbol
    final AtomicReference<Node<Integer>> top =
          ^
  symbol:   class AtomicReference
  location: class Stack
./temp_compile/Stack.java:7: error: cannot find symbol
        AtomicReference<Node<T>> next = new AtomicReference<>();
       "
opencoder:8b,Publishing an object. M0,Compilation Errors,Missing package,"./temp_compile/Secrets.java:29: error: cannot find symbol
        ExecutorService executor = Executors.newFixedThreadPool(3);
        ^
  symbol:   class ExecutorService
  location: class Secrets
./temp_compile/Secrets.java:29: error: cannot find symbol
        ExecutorService executor = Executors.n"
opencoder:8b,Reducing lock duration. M0,Compilation Errors,Syntax error,"./temp_compile/BetterAttributeStore.java:24: error: cannot find symbol
            return Pattern.matches(regexp, locationValue);
                   ^
  symbol:   variable Pattern
  location: class BetterAttributeStore
1 error"
opencoder:8b,Using FutureTask to preload data that is needed later. M0,Compilation Errors,Syntax error,"./temp_compile/Preloader.java:35: error: constructor DataLoadException in class DataLoadException cannot be applied to given types;
            throw new DataLoadException(""Data load failed"", ex);
                  ^
  required: String
  found: String,Exception
  reason: actual and formal argument l"
opencoder:8b,Using a factory method to prevent the this reference from escaping during construction. M0,Compilation Errors,Syntax error,"./temp_compile/SafeListener.java:15: error: variable safeListener might not have been initialized
                safeListener.doSomething(e);
                ^
1 error"
opencoder:8b,Using confinement to ensure thread safety. M0,Compilation Errors,Syntax error,"./temp_compile/PersonSet.java:2: error: package net.jcip.annotations does not exist
import net.jcip.annotations.*;
^
./temp_compile/PersonSet.java:4: error: cannot find symbol
@ThreadSafe
 ^
  symbol: class ThreadSafe
2 errors"
opencoder:8b,Using interruption for cancellation. M0,Compilation Errors,Syntax error,"./temp_compile/Main.java:75: error: constructor Object in class Object cannot be applied to given types;
        super(name);
        ^
  required: no arguments
  found: String
  reason: actual and formal argument lists differ in length
1 error"
opencoder:8b,Vehicle tracker that safely publishes underlying state. M0,Compilation Errors,Syntax error,"./temp_compile/PublishingVehicleTracker.java:31: error: constructor SafePoint in class SafePoint cannot be applied to given types;
        return new SafePoint(locations.get(vehicleId));
               ^
  required: int,int
  found: SafePoint
  reason: actual and formal argument lists differ in leng"
opencoder:8b,Waiting for results to be calculated in parallel. M0,Compilation Errors,Syntax error,"./temp_compile/Main.java:29: error: cannot find symbol
        return CompletableFixed.allOf(futures.toArray(new CompletableFuture[0])).thenRun(() -> System.out.println(""All nodes processed""));
               ^
  symbol:   variable CompletableFixed
  location: class Node
1 error"
opencoder:8b,Wrapping a Map with a read-write lock. M0,Compilation Errors,Syntax error,"./temp_compile/ReadWriteMap.java:25: error: class, interface, or enum expected
public static void main(String[] args) throws InterruptedException {
              ^
./temp_compile/ReadWriteMap.java:27: error: class, interface, or enum expected
    ReadWriteMap readWriteMap = new ReadWriteMap(sharedMa"
phi4:14b,Immutable class built out of mutable underlying objects. M2,Compilation Errors,Syntax error,"./temp_compile/MysticMonkeys.java:9: error: cannot find symbol
    private final Set<String> labels = Collections.unmodifiableSet(new HashSet<>(Set.of(""Banana"", ""Coco"", ""Mango"")));
                                                                                    ^
  symbol:   method of(String,Stri"
phi4:14b,Returning a static copy of the location set instead of a 'live' one. M2,Compilation Errors,Syntax error,"./temp_compile/DelegatingParcelTracker.java:21: error: incomparable types: boolean and <null>
        return packagePositions.replace(packageId, null, position) != null;
                                                                   ^
./temp_compile/DelegatingParcelTracker.java:30: error: cannot"
phi4:14b,Returning a static copy of the location set instead of a 'live' one. M3,Compilation Errors,Syntax error,"./temp_compile/DelegatingRobotTracker.java:21: error: incomparable types: boolean and <null>
        return robotCoordinates.replace(robotId, robotCoordinates.get(robotId), newCoordinate) != null;
                                                                                               ^
1 erro"
phi4:14b,Candidate for lock elision. M1,Compilation Errors,Syntax error,"./temp_compile/QuantumQuokkas.java:13: error: cannot find symbol
        this.quokkaLabels = Collections.unmodifiableList(List.of(""Zig"", ""Zag"", ""Zog""));
                                                             ^
  symbol:   method of(String,String,String)
  location: interface List
1 error"
phi4:14b,Avoiding lock-ordering deadlock using try Lock. M1,Compilation Errors,Syntax error,"./temp_compile/ParcelLocker.java:82: error: constructor ParcelCount in class ParcelCount cannot be applied to given types;
            this.parcelCount = new ParcelCount(0);
                               ^
  required: no arguments
  found: int
  reason: actual and formal argument lists differ in le"
phi4:14b,Avoiding lock-ordering deadlock using try Lock. M2,Compilation Errors,Syntax error,"./temp_compile/DeadlockAvoidanceSwap.java:62: error: unreported exception InsufficientElementsException; must be caught or declared to be thrown
                                origin.getElementCount().remove(elementsToSwap);
                                                               ^
./temp_co"
phind-codellama:34b,Using FutureTask to preload data that is needed later. M1,Compilation Errors,Syntax error,"./temp_compile/DreamWeaver.java:36: error: unreported exception VisionCastException; must be caught or declared to be thrown
        Vision v = dw.get();
                         ^
1 error"
phind-codellama:34b,Using FutureTask to preload data that is needed later. M2,Compilation Errors,Syntax error,"./temp_compile/PhantomLoader.java:18: error: unreported exception RelicCastException; must be caught or declared to be thrown
                throw (RelicCastException) cause;
                ^
1 error"
phind-codellama:34b,Using FutureTask to preload data that is needed later. M3,Compilation Errors,Syntax error,"./temp_compile/Main.java:40: error: incompatible types: Constellation is not a functional interface
        return () -> {}; // Just a placeholder instance of Constellation.
               ^
    no abstract method found in interface Constellation
1 error"
phind-codellama:34b,Waiting for results to be calculated in parallel. M1,Compilation Errors,Syntax error,"./temp_compile/Talisman.java:35: error: cannot find symbol
    T enchant() {
    ^
  symbol:   class T
  location: class Talisman
1 error"
phind-codellama:34b,Waiting for results to be calculated in parallel. M2,Compilation Errors,Syntax error,"./temp_compile/Main.java:23: error: cannot find symbol
            Future<?> future = executor.submit(() -> charm.invoke());
                                       ^
  symbol:   method submit(()->charm.invoke())
  location: variable executor of type Executor
1 error"
phind-codellama:34b,Inducing a lock ordering to avoid deadlock. M1,Compilation Errors,Syntax error,"./temp_compile/Main.java:62: error: gold has private access in Vault
        System.out.println(""Vault 1: "" + v1.gold);
                                           ^
./temp_compile/Main.java:63: error: gold has private access in Vault
        System.out.println(""Vault 2: "" + v2.gold);
               "
phind-codellama:34b,Inducing a lock ordering to avoid deadlock. M2,Compilation Errors,Syntax error,"./temp_compile/Main.java:40: error: amount has private access in GemAmount
                        dest.gems.amount += n;
                                 ^
./temp_compile/Main.java:54: error: amount has private access in GemAmount
                        dest.gems.amount += n;
                     "
phind-codellama:34b,Bounded buffer using Semaphore. M1,Compilation Errors,Syntax error,"./temp_compile/MagicalVault.java:37: error: no suitable method found for submit(Orb)
        Future<Runnable> orb = (Future<Runnable>) service.submit(new Orb());
                                                         ^
    method ExecutorService.<T#1>submit(Callable<T#1>) is not applicable
      ("
phind-codellama:34b,Wrapping a Map with a read-write lock. M2,Compilation Errors,Syntax error,"./temp_compile/SigilLedger.java:96: error: class Main is public, should be declared in a file named Main.java
public class Main {
       ^
./temp_compile/SigilLedger.java:6: error: cannot find symbol
    private final ReentrantReadWriteLock lock = new ReentrantReadWriteLock();
                  ^
  "
phind-codellama:34b,Simulated CAS operation. M3,Compilation Errors,Syntax error,"./temp_compile/EtherealCounter.java:17: error: cannot find symbol
        return compareAndSwap(expectedAura, newAraua) == expectedAura;
                                            ^
  symbol:   variable newAraua
  location: class EtherealCounter
1 error"
phind-codellama:34b,Eager initialization. M1,Compilation Errors,Missing package,"./temp_compile/Main.java:19: error: cannot find symbol
        ExecutorService executorService = Executors.newFixedThreadPool(THREAD_COUNT);
        ^
  symbol:   class ExecutorService
  location: class Main
./temp_compile/Main.java:19: error: cannot find symbol
        ExecutorService executorServi"
phind-codellama:34b,Eager initialization. M2,Compilation Errors,Missing package,"./temp_compile/SingletonArtifact.java:22: error: class Main is public, should be declared in a file named Main.java
public class Main {
       ^
./temp_compile/SingletonArtifact.java:23: error: cannot find symbol
    private static final ExecutorService executor = Executors.newFixedThreadPool(3);
  "
phind-codellama:34b,Eager initialization. M3,Compilation Errors,Missing package,"./temp_compile/Main.java:27: error: cannot find symbol
        ExecutorService service = Executors.newFixedThreadPool(THREAD_COUNT);
        ^
  symbol:   class ExecutorService
  location: class Main
./temp_compile/Main.java:27: error: cannot find symbol
        ExecutorService service = Executors.n"
phind-codellama:34b,Monitor-based vehicle tracker implementation. M1,Compilation Errors,Syntax error,"./temp_compile/Main.java:29: error: cannot infer type arguments for Constellation<>
        Constellation<K, V> clone = new Constellation<>(map.size());
                                    ^
  reason: cannot infer type-variable(s) K,V
    (argument mismatch; int cannot be converted to Constellation<"
phind-codellama:34b,Monitor-based vehicle tracker implementation. M3,Compilation Errors,Syntax error,"./temp_compile/CelestialGriffinTracker.java:30: error: cannot find symbol
        for (Entry<? extends K, ? extends V> entry : m.entrySet()) {
             ^
  symbol:   class Entry
  location: class CelestialGriffinTracker
./temp_compile/CelestialGriffinTracker.java:35: error: incompatible types: M"
qwen3:32b,Wrapping a Map with a read-write lock. M3,Compilation Errors,Syntax error,"./temp_compile/EnchantedRegistry.java:5: error: cannot find symbol
import java.util.concurrent.ReentrantReadWriteLock;
                           ^
  symbol:   class ReentrantReadWriteLock
  location: package java.util.concurrent
./temp_compile/EnchantedRegistry.java:16: error: cannot find symbol
  "
qwen3:32b,Monitor-based vehicle tracker implementation. M1,Compilation Errors,Missing package,"./temp_compile/ChronomanticDragonTracker.java:118: error: cannot find symbol
        ExecutorService executor = java.util.concurrent.Executors.newFixedThreadPool(2);
        ^
  symbol:   class ExecutorService
  location: class ChronomanticDragonTracker
1 error"
qwen3:32b,Monitor-based vehicle tracker implementation. M3,Compilation Errors,Syntax error,"./temp_compile/CelestialGriffinTracker.java:37: error: x has private access in MutableGem
        gem.x = glowX;
           ^
./temp_compile/CelestialGriffinTracker.java:38: error: y has private access in MutableGem
        gem.y = glowY;
           ^
2 errors"
qwen3:32b,Driver loop that induces deadlock under typical conditions. M1,Compilation Errors,Missing package,"./temp_compile/SummonChaosOrbs.java:95: error: cannot find symbol
            Random random = new Random();
            ^
  symbol:   class Random
  location: class FluxThread
./temp_compile/SummonChaosOrbs.java:95: error: cannot find symbol
            Random random = new Random();
                "
qwen3:32b,Driver loop that induces deadlock under typical conditions. M2,Compilation Errors,Missing package,"./temp_compile/ChronoCrystalBalancer.java:70: error: cannot find symbol
        private final Random random = new Random();
                      ^
  symbol:   class Random
  location: class ResonanceThread
./temp_compile/ChronoCrystalBalancer.java:70: error: cannot find symbol
        private final"
qwen3:32b,Driver loop that induces deadlock under typical conditions. M3,Compilation Errors,Missing package,"./temp_compile/GoblinGoldShuffle.java:35: error: cannot find symbol
            Random random = new Random();
            ^
  symbol:   class Random
  location: class TradeThread
./temp_compile/GoblinGoldShuffle.java:35: error: cannot find symbol
            Random random = new Random();
           "
qwen3:32b,Custom thread base class. M0,Compilation Errors,Syntax error,"./temp_compile/MyAppThread.java:7: error: cannot find symbol
    private static final AtomicInteger counter = new AtomicInteger(0);
                         ^
  symbol:   class AtomicInteger
  location: class MyAppThread
./temp_compile/MyAppThread.java:8: error: cannot find symbol
    private static"
qwen3:32b,Using Semaphore to bound a collection. M0,Compilation Errors,Syntax error,"./temp_compile/BoundedHashSet.java:81: error: exception TimeoutException is never thrown in body of corresponding try statement
        } catch (java.util.concurrent.TimeoutException e) {
          ^
./temp_compile/BoundedHashSet.java:80: error: unreported exception InterruptedException; must be cau"
starcoder2:15b,Counting sheep. M1,Compilation Errors,Syntax error,"./temp_compile/Traveler.java:9: error: ';' expected
        ExecutorService executorService = Executors.newFixedThreadPool(2));
                                                                         ^
./temp_compile/Traveler.java:15: error: ';' expected
                    TimeUnit.SECONDS.sleep(1"
starcoder2:15b,Counting sheep. M2,Compilation Errors,Syntax error,"./temp_compile/Wanderer.java:10: error: ';' expected
            Thread.sleep(1000));
                              ^
./temp_compile/Wanderer.java:25: error: ';' expected
        ExecutorService executorService = Executors.newFixedThreadPool(2));
                                                     "
starcoder2:15b,Counting sheep. M3,Compilation Errors,Syntax error,"./temp_compile/Scout.java:10: error: ';' expected
                        Thread.sleep(1000));
                                          ^
./temp_compile/Scout.java:17: error: <identifier> expected
        }), ""Observer"");
           ^
./temp_compile/Scout.java:17: error: illegal start of expression"
starcoder2:15b,Immutable class built out of mutable underlying objects. M1,Compilation Errors,Syntax error,"./temp_compile/CosmicCats.java:10: error: ';' expected
        identifiers.forEach(identifier -> identifiers.contains(identifier)))
                                                                           ^
./temp_compile/CosmicCats.java:11: error: ';' expected
            .forEach(identifier -> t"
starcoder2:15b,Immutable class built out of mutable underlying objects. M3,Compilation Errors,Syntax error,"./temp_compile/StellarSprites.java:33: error: ';' expected
        ExecutorService executor = Executors.newFixedThreadPool(2));
                                                                  ^
./temp_compile/StellarSprites.java:35: error: ';' expected
        executor.submit(() -> System.out.prin"
starcoder2:15b,Returning a static copy of the location set instead of a 'live' one. M1,Compilation Errors,Syntax error,"./temp_compile/DelegatingDeviceTracker.java:10: error: ';' expected
        this.gadgetPositions = Collections.unmodifiableMap(new HashMap<>(initialGadgetPositions))));
                                                                                                 ^
./temp_compile/DelegatingDeviceT"
starcoder2:15b,Returning a static copy of the location set instead of a 'live' one. M2,Compilation Errors,Syntax error,"./temp_compile/DelegatingParcelTracker.java:8: error: ';' expected
        this.packagePositions = new ConcurrentHashMap<>(initialPackagePositions));
                                                                                ^
./temp_compile/DelegatingParcelTracker.java:12: error: ';' expected
"
starcoder2:15b,Returning a static copy of the location set instead of a 'live' one. M3,Compilation Errors,Syntax error,"./temp_compile/DelegatingRobotTracker.java:9: error: ';' expected
        robotCoordinates.computeIfAbsent(id, k -> new Point()))
                                                              ^
./temp_compile/DelegatingRobotTracker.java:14: error: ';' expected
        return Collections.unmodifiable"
starcoder2:15b,Candidate for lock elision. M1,Compilation Errors,Syntax error,"./temp_compile/QuantumQuokkas.java:7: error: ';' expected
    private static final List<String> QUOKKA_LABELS = Arrays.asList(""Zig"", ""Zag"", ""Zog""));
                                                                                        ^
./temp_compile/QuantumQuokkas.java:27: error: ';' expected
  "
starcoder2:15b,Candidate for lock elision. M2,Compilation Errors,Syntax error,"./temp_compile/SolarSquirrels.java:7: error: illegal start of expression
            if (id.equals(identifier))) {
                                      ^
./temp_compile/SolarSquirrels.java:18: error: ';' expected
            sb.append(identifiers[i]));
                                     ^
./temp_"
starcoder2:15b,Candidate for lock elision. M3,Compilation Errors,Syntax error,"./temp_compile/MysticMantas.java:11: error: ';' expected
        this.mantaTags = Arrays.asList(""Glimmer"", ""Ripple"", ""Twist""));
                                                                    ^
./temp_compile/MysticMantas.java:25: error: ';' expected
        ExecutorService executor = Executors."
starcoder2:15b,Avoiding lock-ordering deadlock using try Lock. M1,Compilation Errors,Syntax error,"./temp_compile/ParcelMovement.java:11: error: ';' expected
        executorService = Executors.newFixedThreadPool(NUM_THREADS));
                                                                   ^
./temp_compile/ParcelMovement.java:13: error: ';' expected
        Locker targetLocker = new Locker(""T"
vicuna:33b,Immutable Point class used by DelegatingVehicleTracker. M2,Compilation Errors,Syntax error,"./temp_compile/Fungloon.java:11: error: class Constellation is public, should be declared in a file named Constellation.java
public class Constellation {
       ^
./temp_compile/Fungloon.java:15: error: cannot find symbol
        ThreadPoolExecutor executor = new ThreadPoolExecutor(5, 5, 10, TimeUni"
vicuna:33b,Immutable Point class used by DelegatingVehicleTracker. M3,Compilation Errors,Missing package,"./temp_compile/Crimble.java:11: error: class CrimbleMain is public, should be declared in a file named CrimbleMain.java
public class CrimbleMain {
       ^
./temp_compile/Crimble.java:15: error: cannot find symbol
        ThreadPoolExecutor executor = new ThreadPoolExecutor(numThreads, numThreads, 1"
vicuna:33b,Delegating thread safety to a ConcurrentHashMap. M1,Compilation Errors,Syntax error,"./temp_compile/MysticBeastTracker.java:5: error: cannot find symbol
    private final ConcurrentHashMap<String, Glyph> beasts;
                                            ^
  symbol:   class Glyph
  location: class MysticBeastTracker
./temp_compile/MysticBeastTracker.java:8: error: cannot find symbo"
vicuna:33b,Delegating thread safety to a ConcurrentHashMap. M2,Compilation Errors,Syntax error,"./temp_compile/CelestialCaravanTracker.java:27: error: reached end of file while parsing
    public static void main(String[] args) {
                                            ^
1 error"
vicuna:33b,Delegating thread safety to a ConcurrentHashMap. M3,Compilation Errors,Missing package,"./temp_compile/PhantomGliderTracker.java:9: error: cannot find symbol
    private final ConcurrentHashMap<String, Nimbus> perches;
                                            ^
  symbol:   class Nimbus
  location: class PhantomGliderTracker
./temp_compile/PhantomGliderTracker.java:14: error: cannot "
vicuna:33b,Using FutureTask to preload data that is needed later. M1,Compilation Errors,Syntax error,"./temp_compile/DreamWeaver.java:9: error: no suitable constructor found for Thread(DreamWeaver)
        Thread thread = new Thread(dw);
                        ^
    constructor Thread.Thread(Runnable) is not applicable
      (argument mismatch; DreamWeaver cannot be converted to Runnable)
    const"
vicuna:33b,Using FutureTask to preload data that is needed later. M2,Compilation Errors,Syntax error,"./temp_compile/PhantomLoader.java:12: error: duplicate class: PhantomLoader
class PhantomLoader {
^
./temp_compile/PhantomLoader.java:7: error: cannot find symbol
        Relic relic = phantomLoader.loadRelic();
                                   ^
  symbol:   method loadRelic()
  location: variable"
